epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,7537.31,0.95649,0.05635,0.00252,0.99062,0.98769,0.99431,0.85017,0.91739,0.04533,0.00908,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,7643.22,0.92655,0.05189,0.00248,0.99057,0.99129,0.9943,0.85248,0.90711,0.04547,0.0089,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,7745.25,0.9251,0.05443,0.00269,0.9931,0.98942,0.99438,0.85477,0.90678,0.04622,0.00897,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,7848.88,0.91405,0.05261,0.00264,0.9921,0.99079,0.99439,0.8531,0.90429,0.04413,0.00874,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,7956.03,0.96357,0.05625,0.00244,0.9941,0.98978,0.9944,0.85658,0.90552,0.04459,0.00883,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,8062.92,0.93153,0.05402,0.00241,0.99259,0.99098,0.99444,0.85658,0.897,0.04354,0.00872,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,8170.69,0.89918,0.05225,0.0025,0.9914,0.99184,0.99468,0.85871,0.90037,0.04295,0.00885,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,8276.91,0.89641,0.05246,0.00249,0.99303,0.99205,0.99462,0.85628,0.89126,0.04314,0.00865,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,8383.72,0.88548,0.05064,0.0024,0.99306,0.99236,0.99445,0.85614,0.89479,0.04501,0.00876,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,8490.3,0.89227,0.05172,0.0024,0.99234,0.99211,0.99459,0.85837,0.89832,0.04493,0.00889,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,8597.62,0.87964,0.05096,0.00234,0.99227,0.99211,0.99439,0.85903,0.89703,0.04545,0.00889,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,8703.76,0.89318,0.05111,0.00238,0.99259,0.99263,0.99454,0.85786,0.89342,0.04392,0.0088,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,8809.92,0.88139,0.05068,0.00238,0.99159,0.99235,0.99469,0.85715,0.89197,0.04277,0.00868,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,8916.98,0.88242,0.05057,0.00232,0.99151,0.99092,0.99446,0.85389,0.89789,0.04407,0.00871,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,9024.02,0.90482,0.05177,0.00236,0.993,0.99201,0.99441,0.85953,0.89538,0.04319,0.00884,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,9129.99,0.87495,0.0506,0.00236,0.9933,0.99182,0.99431,0.85877,0.89839,0.0448,0.00883,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,9235.04,0.86319,0.05081,0.00241,0.99299,0.99259,0.99443,0.85664,0.89805,0.04301,0.00874,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,9342.56,0.86948,0.04928,0.00218,0.99412,0.99091,0.99446,0.86042,0.88973,0.04298,0.00875,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,9446.74,0.83487,0.04895,0.00239,0.99235,0.99212,0.9945,0.86275,0.88005,0.04229,0.0086,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,9553.15,0.84925,0.04765,0.00226,0.99436,0.99057,0.99443,0.8621,0.88437,0.04399,0.00865,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,9658.49,0.85423,0.05001,0.00229,0.99374,0.99026,0.99446,0.85956,0.89003,0.04404,0.00867,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,9762.37,0.8334,0.04805,0.00233,0.99424,0.99052,0.99458,0.86082,0.89237,0.04474,0.00873,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,9867.19,0.83561,0.0472,0.00223,0.99362,0.99283,0.99461,0.86071,0.89044,0.04355,0.00872,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,9974.03,0.85397,0.04808,0.00211,0.99362,0.99116,0.99461,0.86018,0.89204,0.04304,0.00872,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,10079.4,0.8352,0.04733,0.00217,0.99404,0.99139,0.99458,0.86047,0.8868,0.04407,0.00871,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,10182.8,0.82553,0.04775,0.00233,0.99416,0.99199,0.99451,0.86006,0.88724,0.04513,0.0087,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,10286.2,0.8213,0.04826,0.00229,0.99437,0.99193,0.99451,0.86116,0.88361,0.04298,0.00875,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,10393.8,0.84519,0.0482,0.0021,0.99264,0.99184,0.99462,0.85975,0.89137,0.04325,0.00876,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,10499.2,0.83116,0.04784,0.00225,0.99306,0.99325,0.99445,0.86104,0.88902,0.04406,0.00876,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,10604.9,0.83166,0.0485,0.00219,0.99278,0.99139,0.99422,0.85831,0.88984,0.04676,0.00874,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,10708.3,0.83231,0.04805,0.00224,0.99348,0.99222,0.99447,0.86124,0.88783,0.04425,0.00873,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,10813.8,0.82262,0.04646,0.0021,0.99312,0.99202,0.99454,0.85948,0.88734,0.04365,0.00873,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,10918.1,0.80946,0.04823,0.00222,0.99323,0.99223,0.99452,0.85968,0.88994,0.04334,0.0088,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,11022.8,0.81269,0.04647,0.00209,0.99503,0.99261,0.9946,0.86255,0.88312,0.04378,0.00874,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,11126.7,0.79646,0.04625,0.0022,0.99414,0.9927,0.99459,0.86318,0.89013,0.04336,0.00887,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,11233.5,0.8201,0.04669,0.00207,0.99408,0.99423,0.99476,0.86355,0.88415,0.04289,0.00879,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,11338.8,0.7942,0.04456,0.00205,0.99395,0.99199,0.99446,0.86467,0.88413,0.04303,0.00883,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,11444.1,0.78932,0.04429,0.00203,0.99476,0.99295,0.99464,0.86379,0.88369,0.04396,0.00872,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,11549.7,0.80787,0.04705,0.00208,0.99444,0.99157,0.99449,0.86184,0.8861,0.04234,0.00879,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,11654.8,0.80135,0.04523,0.00205,0.99459,0.99289,0.99465,0.86402,0.88457,0.04324,0.00876,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,11760.5,0.78491,0.04437,0.002,0.99398,0.99217,0.99447,0.86312,0.88971,0.04521,0.00881,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,11864.6,0.7736,0.04457,0.00207,0.99465,0.99361,0.99448,0.86463,0.88618,0.04401,0.00878,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,11970,0.80798,0.04705,0.00203,0.99425,0.9939,0.99441,0.86411,0.88763,0.04452,0.00881,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,12076.8,0.78791,0.04461,0.00197,0.9951,0.99241,0.99458,0.86329,0.88866,0.04455,0.00881,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,12183.9,0.79037,0.04545,0.00189,0.99401,0.99239,0.99471,0.86546,0.88589,0.04411,0.00879,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,12289.8,0.77891,0.0443,0.00193,0.99519,0.99301,0.99465,0.86515,0.88472,0.04295,0.00877,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,12396.1,0.76649,0.04305,0.00198,0.99444,0.99368,0.9946,0.86457,0.88186,0.04338,0.00874,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,12500.7,0.76391,0.0428,0.00194,0.99455,0.99253,0.99466,0.86677,0.88131,0.04333,0.00878,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,12606.6,0.74646,0.04243,0.00192,0.99478,0.99361,0.99467,0.86554,0.88153,0.04286,0.00881,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,12710.4,0.75843,0.043,0.00201,0.99396,0.99297,0.9946,0.86537,0.88337,0.04331,0.00878,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,12815.4,0.75744,0.043,0.00192,0.99511,0.99331,0.99473,0.86432,0.88638,0.04356,0.00882,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,12921.2,0.77591,0.04555,0.00188,0.99443,0.99384,0.99475,0.86598,0.88639,0.04328,0.00885,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,13026.2,0.75663,0.04377,0.00193,0.99509,0.99317,0.99465,0.86729,0.88222,0.04398,0.0088,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,13130.7,0.7543,0.04321,0.00191,0.99485,0.99341,0.99456,0.86597,0.88185,0.0432,0.00879,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
